id	name	type	value	description
10464	Bewitched Adamantite Shortsword	WEAPON	9000	This blade was enchanted for you by the enchantress Magnolia.
10465	Bewitched Adamantite Longsword	WEAPON	9000	This blade was enchanted for you by the enchantress Magnolia.
10466	Bewitched Adamantite Greatsword	WEAPON	13000	This sword was enchanted for you by the enchantress Magnolia.
10467	Bewitched Adamantite Shortsword	WEAPON	9000	This blade was enchanted for you by the enchantress Magnolia.
10468	Bewitched Adamantite Longsword	WEAPON	9000	This blade was enchanted for you by the enchantress Magnolia.
10469	Bewitched Adamantite Greatsword	WEAPON	13000	This sword was enchanted for you by the enchantress Magnolia.
10470	Armor of Secret Guard	armor_chest	12200	They are simply magnificent in appearance, the armor will also reliably protect you.
10471	Bewitched Bluesteel Dagger	WEAPON	1500	This blade was enchanted for you by the enchantress Magnolia.
10472	Bewitched Bluesteel Shortsword	WEAPON	1900	This blade was enchanted for you by the enchantress Magnolia.
10473	Bewitched Bluesteel Longsword	WEAPON	2100	This blade was enchanted for you by the enchantress Magnolia.
10474	Bewitched Bluesteel Greatsword	WEAPON	2600	This sword was enchanted for you by the enchantress Magnolia.
10475	Bewitched Bluesteel Mace	WEAPON	1900	This weapon was enchanted for you by the enchantress Magnolia.
10476	Bewitched Bluesteel Hammer	WEAPON	1800	This weapon was enchanted for you by the enchantress Magnolia.
10477	Bewitched Bluesteel Maul	WEAPON	2700	This weapon was enchanted for you by the enchantress Magnolia.
10478	Bewitched Bluesteel Axe	WEAPON	1800	This weapon was enchanted for you by the enchantress Magnolia.
10479	Bewitched Bluesteel Greataxe	WEAPON	2200	This weapon was enchanted for you by the enchantress Magnolia.
10480	Unremarkable cuirass	armor_chest	10200	This armor is not so simple at first glance.
10481	Bewitched Bluesteel Dagger	WEAPON	1550	This blade was enchanted for you by the enchantress Magnolia.
10482	Bewitched Bluesteel Shortsword	WEAPON	1950	This blade was enchanted for you by the enchantress Magnolia.
10483	Bewitched Bluesteel Longsword	WEAPON	2150	This blade was enchanted for you by the enchantress Magnolia.
10484	Bewitched Bluesteel Greatsword	WEAPON	2650	This sword was enchanted for you by the enchantress Magnolia.
10485	Bewitched Bluesteel Mace	WEAPON	1950	This weapon was enchanted for you by the enchantress Magnolia.
10486	Bewitched Bluesteel Hammer	WEAPON	1850	This weapon was enchanted for you by the enchantress Magnolia.
10487	Bewitched Bluesteel Maul	WEAPON	2750	This weapon was enchanted for you by the enchantress Magnolia.
10488	Bewitched Bluesteel Axe	WEAPON	1850	This weapon was enchanted for you by the enchantress Magnolia.
10489	Bewitched Bluesteel Greataxe	WEAPON	3250	This weapon was enchanted for you by the enchantress Magnolia.
10490	Lightweight Thuramiam Breastplate	armor_chest	9200	Crafted in the Arcane Forges of Icemist.
10491	Bewitched Bluesteel Dagger	WEAPON	1600	This blade was enchanted for you by the enchantress Magnolia.
10492	Bewitched Bluesteel Shortsword	WEAPON	2000	This blade was enchanted for you by the enchantress Magnolia.
10493	Bewitched Bluesteel Longsword	WEAPON	2200	This blade was enchanted for you by the enchantress Magnolia.
10494	Bewitched Bluesteel Greatsword	WEAPON	2700	This sword was enchanted for you by the enchantress Magnolia.
10495	Bewitched Bluesteel Mace	WEAPON	2000	This weapon was enchanted for you by the enchantress Magnolia.
10496	Bewitched Bluesteel Hammer	WEAPON	1900	This weapon was enchanted for you by the enchantress Magnolia.
10497	Bewitched Bluesteel Maul	WEAPON	2800	This weapon was enchanted for you by the enchantress Magnolia.
10498	Bewitched Bluesteel Axe	WEAPON	1900	This weapon was enchanted for you by the enchantress Magnolia.
10499	Bewitched Bluesteel Greataxe	WEAPON	2300	This weapon was enchanted for you by the enchantress Magnolia.
10500	Dragon Armor	armor_chest	26200	Armor tempered by the dragon's flame will reliably protect you.
10501	Bewitched Bluesteel Dagger	WEAPON	1650	This blade was enchanted for you by the enchantress Beatrice.
10502	Bewitched Bluesteel Shortsword	WEAPON	2050	This blade was enchanted for you by the enchantress Beatrice.
10503	Bewitched Bluesteel Longsword	WEAPON	2250	This blade was enchanted for you by the enchantress Beatrice.
10504	Bewitched Bluesteel Greatsword	WEAPON	2750	This sword was enchanted for you by the enchantress Beatrice.
10505	Bewitched Bluesteel Mace	WEAPON	2050	This weapon was enchanted for you by the enchantress Beatrice.
10506	Bewitched Bluesteel Hammer	WEAPON	1950	This weapon was enchanted for you by the enchantress Beatrice.
10507	Bewitched Bluesteel Maul	WEAPON	2850	This weapon was enchanted for you by the enchantress Beatrice.
10508	Bewitched Bluesteel Axe	WEAPON	1950	This weapon was enchanted for you by the enchantress Beatrice.
10509	Bewitched Bluesteel Greataxe	WEAPON	2350	This weapon was enchanted for you by the enchantress Beatrice.
10511	Blessed Bluesteel Dagger	WEAPON	1700	This blade was blessed in the temple of the Northern gods.
10512	Blessed Bluesteel Shortsword	WEAPON	2100	This blade was blessed in the temple of the Northern gods.
10513	Blessed Bluesteel Longsword	WEAPON	2300	This blade was blessed in the temple of the Northern gods.
10514	Blessed Bluesteel Greatsword	WEAPON	2800	This sword was blessed in the temple of the Northern gods.
10515	Blessed Bluesteel Mace	WEAPON	2100	This weapon was blessed in the temple of the Northern gods.
10516	Blessed Bluesteel Hammer	WEAPON	2000	This weapon was blessed in the temple of the Northern gods.
10517	Blessed Bluesteel Maul	WEAPON	2900	This weapon was blessed in the temple of the Northern gods.
10518	Blessed Bluesteel Axe	WEAPON	2000	This weapon was blessed in the temple of the Northern gods.
10519	Blessed Bluesteel Greataxe	WEAPON	2400	This weapon was blessed in the temple of the Northern gods.
10520	Bewitched Adamantite Shortsword	WEAPON	9500	This blade was enchanted for you by the enchantress Beatrice.
10521	Bewitched Adamantite Longsword	WEAPON	9500	This blade was enchanted for you by the enchantress Beatrice.
10522	Bewitched Adamantite Greatsword	WEAPON	13500	This sword was enchanted for you by the enchantress Beatrice.
10523	Blessed Adamantite Shortsword	WEAPON	10000	This blade was blessed in the temple of the Northern gods.
10524	Blessed Adamantite Longsword	WEAPON	10000	This blade was blessed in the temple of the Northern gods.
10525	Blessed Adamantite Greatsword	WEAPON	14000	This sword was blessed in the temple of the Northern gods.
10531	Bewitched Short Bow	WEAPON	650	This bow was enchanted for you by the magician Ronald.
10532	Bewitched Hunting Bow	WEAPON	1150	This bow was enchanted for you by the magician Ronald.
10533	Bewitched Oaken Bow	WEAPON	1800	This bow was enchanted for you by the magician Ronald.
10534	Bewitched Hunter's Mark	WEAPON	1700	This bow was enchanted for you by the magician Ronald.
10535	Bewitched Silver Bow	WEAPON	2400	This bow was enchanted for you by the magician Ronald.
10536	Bewitched Jester's Bow	WEAPON	4500	This bow was enchanted for you by the magician Ronald.
10537	Bewitched Composite Bow	WEAPON	5500	This bow was enchanted for you by the magician Ronald.
10541	Bewitched Short Bow	WEAPON	650	This bow was enchanted for you by the magician Ronald.
10542	Bewitched Hunting Bow	WEAPON	1150	This bow was enchanted for you by the magician Ronald.
10543	Bewitched Oaken Bow	WEAPON	1800	This bow was enchanted for you by the magician Ronald.
10544	Bewitched Hunter's Mark	WEAPON	1700	This bow was enchanted for you by the magician Ronald.
10545	Bewitched Silver Bow	WEAPON	2400	This bow was enchanted for you by the magician Ronald.
10546	Bewitched Jester's Bow	WEAPON	4500	This bow was enchanted for you by the magician Ronald.
10547	Bewitched Composite Bow	WEAPON	5500	This bow was enchanted for you by the magician Ronald.
10551	Bewitched Short Bow	WEAPON	650	This bow was enchanted for you by the magician Ronald.
10552	Bewitched Hunting Bow	WEAPON	1150	This bow was enchanted for you by the magician Ronald.
10553	Bewitched Oaken Bow	WEAPON	1800	This bow was enchanted for you by the magician Ronald.
10554	Bewitched Hunter's Mark	WEAPON	1700	This bow was enchanted for you by the magician Ronald.
10555	Bewitched Silver Bow	WEAPON	2400	This bow was enchanted for you by the magician Ronald.
10556	Bewitched Jester's Bow	WEAPON	4500	This bow was enchanted for you by the magician Ronald.
10557	Bewitched Composite Bow	WEAPON	5500	This bow was enchanted for you by the magician Ronald.
10558	Bewitched Staff of Force	WEAPON	640	This staff was enchanted for you by the magician Ronald.
10559	Bewitched Staff of Mighty Missiles	WEAPON	4100	This staff was enchanted for you by the magician Ronald.
10560	Bewitched Staff of the Arcanist	WEAPON	9500	This staff was enchanted for you by the magician Ronald.
10561	Bewitched Staff of Impact	WEAPON	10500	This staff was enchanted for you by the magician Ronald.
10562	Bewitched Staff of Force	WEAPON	640	This staff was enchanted for you by the magician Ronald.
10563	Bewitched Staff of Mighty Missiles	WEAPON	4100	This staff was enchanted for you by the magician Ronald.
10564	Bewitched Staff of the Arcanist	WEAPON	9500	This staff was enchanted for you by the magician Ronald.
10565	Bewitched Staff of Impact	WEAPON	10500	This staff was enchanted for you by the magician Ronald.
10566	Bewitched Staff of Force	WEAPON	640	This staff was enchanted for you by the magician Ronald.
10567	Bewitched Staff of Mighty Missiles	WEAPON	4100	This staff was enchanted for you by the magician Ronald.
10568	Bewitched Staff of the Arcanist	WEAPON	9500	This staff was enchanted for you by the magician Ronald.
10569	Bewitched Staff of Impact	WEAPON	10500	This staff was enchanted for you by the magician Ronald.
10571	Bewitched Oak Wand	WEAPON	1100	This wand was enchanted for you by the magician Ronald.
10572	Bewitched Elm Wand	WEAPON	2900	This wand was enchanted for you by the magician Ronald
10573	Bewitched Invisible Fist	WEAPON	2700	This wand was enchanted for you by the magician Ronald.
10574	Bewitched Wand of the Arcanist	WEAPON	9500	This wand was enchanted for you by the magician Ronald.
10575	Bewitched Wand of Power	WEAPON	8500	This wand was enchanted for you by the magician Ronald.
10576	Bewitched Oak Wand	WEAPON	1100	This wand was enchanted for you by the magician Ronald.
10577	Bewitched Elm Wand	WEAPON	2900	This wand was enchanted for you by the magician Ronald
10578	Bewitched Invisible Fist	WEAPON	2700	This wand was enchanted for you by the magician Ronald.
10579	Bewitched Wand of the Arcanist	WEAPON	9500	This wand was enchanted for you by the magician Ronald.
10580	Bewitched Wand of Power	WEAPON	8500	This wand was enchanted for you by the magician Ronald.
10581	Bewitched Oak Wand	WEAPON	1100	This wand was enchanted for you by the magician Ronald.
10582	Bewitched Elm Wand	WEAPON	2900	This wand was enchanted for you by the magician Ronald
10583	Bewitched Invisible Fist	WEAPON	2700	This wand was enchanted for you by the magician Ronald.
10584	Bewitched Wand of the Arcanist	WEAPON	9500	This wand was enchanted for you by the magician Ronald.
10585	Bewitched Wand of Power	WEAPON	8500	This wand was enchanted for you by the magician Ronald.
10586	Bewitched Silver Dagger	WEAPON	1300	This blade was enchanted for you by the enchantress Magnolia.
10587	Bewitched Silver Shortsword	WEAPON	1400	This blade was enchanted for you by the enchantress Magnolia.
10588	Bewitched Silver Longsword	WEAPON	1500	This blade was enchanted for you by the enchantress Magnolia.
10589	Bewitched Silver Greatsword	WEAPON	1900	This sword was enchanted for you by the enchantress Magnolia.
10590	Bewitched Silver Mace	WEAPON	1400	This weapon was enchanted for you by the enchantress Magnolia.
10591	Bewitched Silver Dagger	WEAPON	1300	This blade was enchanted for you by the enchantress Magnolia.
10592	Bewitched Silver Shortsword	WEAPON	1400	This blade was enchanted for you by the enchantress Magnolia.
10593	Bewitched Silver Longsword	WEAPON	1500	This blade was enchanted for you by the enchantress Magnolia.
10594	Bewitched Silver Greatsword	WEAPON	1900	This sword was enchanted for you by the enchantress Magnolia.
10595	Bewitched Silver Mace	WEAPON	1400	This weapon was enchanted for you by the enchantress Magnolia.
10596	Bewitched Silver Dagger	WEAPON	1300	This blade was enchanted for you by the enchantress Magnolia.
10597	Bewitched Silver Shortsword	WEAPON	1400	This blade was enchanted for you by the enchantress Magnolia.
10598	Bewitched Silver Longsword	WEAPON	1500	This blade was enchanted for you by the enchantress Magnolia.
10599	Bewitched Silver Greatsword	WEAPON	1900	This sword was enchanted for you by the enchantress Magnolia.
10600	Bewitched Silver Mace	WEAPON	1400	This weapon was enchanted for you by the enchantress Magnolia.
10601	Bewitched Silver Dagger	WEAPON	1300	This blade was enchanted for you by the enchantress Beatrice.
10602	Bewitched Silver Shortsword	WEAPON	1400	This blade was enchanted for you by the enchantress Beatrice.
10603	Bewitched Silver Longsword	WEAPON	1500	This blade was enchanted for you by the enchantress Beatrice.
10604	Bewitched Silver Greatsword	WEAPON	1900	This sword was enchanted for you by the enchantress Beatrice.
10605	Bewitched Silver Mace	WEAPON	1400	This weapon was enchanted for you by the enchantress Beatrice.
10606	Blessed Silver Dagger	WEAPON	1300	This blade was blessed in the temple of the Northern gods.
10607	Blessed Silver Shortsword	WEAPON	1400	This blade was blessed in the temple of the Northern gods.
10608	Blessed Silver Longsword	WEAPON	1500	This blade was blessed in the temple of the Northern gods.
10609	Blessed Silver Greatsword	WEAPON	1900	This sword was blessed in the temple of the Northern gods.
10610	Blessed Silver Mace	WEAPON	1400	This weapon was blessed in the temple of the Northern gods.
10611	Baffle	WEAPON	6900	Will make your enemies suffer.
10612	Electrically Charged Crown	armor_head	4500	And sparks dance around the mouth.
10613	Bloodsucker	WEAPON	4100	Even though your defense will weaken, the enemies will still not have a chance to survive.
10614	Heart Dragon	general	-1	Its size would clearly be enough to pump out a small lake.
10615	Rosary beads around neck	necklace	3000	So that bro respect you.
10616	Axe of the Bull's Dick	WEAPON	5100	A great axe to cut someone on sausage!
10617	Steel Key	general	-1	Almost like a brand new key, from some kind of lock.
10618	Head of bear costume	general	-1	An elaborately crafted head from a bear costume.
10619	Head of bear	general	-1	Now this bear is not destined to suck a paw or eat people.
10620	Magical Artifact	general	-1	A strange looking thing, you have no idea why a wizard would need it.
10621	Enchanted Dagger	WEAPON	1110	A knife with special charms against outsiders.
10622	Head of Goblin King	general	-1	Even the grave can't fix this scarecrow.
10623	Shocker	WEAPON	4000	An unusual-looking dagger that constantly exudes energy.
10624	Opa	WEAPON	10	Opa.
10625	Lionskin Cuirass	armor_chest	3000	Hear me roar!
10626	Test	WEAPON	10	Test.
10627	Basilisk's Eye	SHIELD	9500	His energy can paralyze enemies.
10628	Steel Key	general	-1	You found this key near the remains of a prisoner, perhaps it will open the way to one of the closed sections of the lower tier of the tower.
10629	Steel Key	general	-1	This key will open the way to another one closed section of the lower tier of the tower.
10630	Steel Key	general	-1	This is the key to the locked bedroom.
10631	Steel Key	general	-1	With this key, can get into the closed section of the lower tier of the tower.
10632	Steel Key	general	-1	This key will open the way to the top of the tower.
10633	Magical Key	general	-1	This is the key to wizard's cabinet.
10634	Small tile	general	-1	A strange tile with many ledges on one side, perhaps it is part of the mechanism on the upper tier of the tower.
10635	Magical Key	general	-1	The Pseudo Sphinx gave you the key..
10636	Crown of the Dragon Lord	armor_head	-1	A relic of the dragon people, but dangerous to humans when worn.
10637	Substrate	general	-1	Foreign energy collected from outsiders.
10638	Dragon Elixir	SCROLL	2500	A gift from a magician's apprentice, with which you can summon a special protector.
10639	Elemental Shield	SHIELD	4000	A shield with strong magical protection.
10640	Belt of Genius	belt	5500	This thing will make you smarter.
10641	Cloak of Magical Recharge	cloak	9000	This thing won't let your magic power run out.
10642	Substrate	general	-1	Foreign energy collected from outsiders.
10643	Thunderstorm Squall	WEAPON	11100	It will roast and chop your enemies well.
10644	Zeref's Mantle	armor_chest	6000	This man knew how to dress well.
10645	Staff of Balthasar	WEAPON	19000	It looks like the staff was created by the magician himself.
10646	Magician's Apprentice Gloves	armor_arms	4500	He was a very capable apprentice.
10647	Magic Stone	general	-1	This artifact was given to you by Zeref, with the help of it he will be able to teleport to you.
10648	Chastity Belt	belt	11000	It'll make a pussy out of you, but with a hard punch.
10649	Bewitched Unshakable Pride	WEAPON	16700	This sword was enchanted for you by the enchantress Magnolia.
10650	Bewitched Unshakable Pride	WEAPON	16700	This sword was enchanted for you by the enchantress Magnolia.
10651	Bewitched Unshakable Pride	WEAPON	16700	This sword was enchanted for you by the enchantress Magnolia.
10652	Bewitched Unshakable Pride	WEAPON	16700	This sword was enchanted for you by the enchantress Beatrice.
10653	Bewitched Thief's Blade	WEAPON	800	This sword was enchanted for you by the enchantress Magnolia.
10654	Bewitched Thief's Blade	WEAPON	800	This sword was enchanted for you by the enchantress Magnolia.
10655	Bewitched Thief's Blade	WEAPON	800	This sword was enchanted for you by the enchantress Magnolia.
10656	Bewitched Thief's Blade	WEAPON	850	This sword was enchanted for you by the enchantress Beatrice.
10657	Blessed Thief's Blade	WEAPON	1000	This blade was blessed in the temple of the Northern gods.
10658	Bewitched Corsair Falchion	WEAPON	2500	This sword was enchanted for you by the enchantress Magnolia.
10659	Bewitched Corsair Falchion	WEAPON	2500	This sword was enchanted for you by the enchantress Magnolia.
10660	Bewitched Corsair Falchion	WEAPON	2500	This sword was enchanted for you by the enchantress Magnolia.
10661	Bewitched Corsair Falchion	WEAPON	2650	This sword was enchanted for you by the enchantress Beatrice.
10662	Blessed Corsair Falchion	WEAPON	2700	This blade was blessed in the temple of the Northern gods.
10663	Bewitched Sharp Orc Knife	WEAPON	680	This weapon was enchanted for you by the enchantress Magnolia.
10664	Bewitched Sharp Orc Knife	WEAPON	680	This weapon was enchanted for you by the enchantress Magnolia.
10665	Bewitched Sharp Orc Knife	WEAPON	680	This weapon was enchanted for you by the enchantress Magnolia.
10666	Bewitched Sharp Orc Knife	WEAPON	730	This weapon was enchanted for you by the enchantress Beatrice.
10667	Blessed Sharp Orc Knife	WEAPON	780	This weapon was blessed in the temple of the Northern gods.
10668	Bewitched Hunter's Fang	WEAPON	950	This weapon was enchanted for you by the enchantress Magnolia.
10669	Bewitched Hunter's Fang	WEAPON	950	This weapon was enchanted for you by the enchantress Magnolia.
10670	Bewitched Hunter's Fang	WEAPON	950	This weapon was enchanted for you by the enchantress Magnolia.
10671	Bewitched Hunter's Fang	WEAPON	1000	This weapon was enchanted for you by the enchantress Beatrice.
10672	Blessed Hunter's Fang	WEAPON	1050	This weapon was blessed in the temple of the Northern gods.
10673	Bewitched Sacrificial Dagger	WEAPON	1100	This blade was enchanted for you by the enchantress Magnolia.
10674	Bewitched Sacrificial Dagger	WEAPON	1100	This blade was enchanted for you by the enchantress Magnolia.
10675	Bewitched Sacrificial Dagger	WEAPON	1100	This blade was enchanted for you by the enchantress Magnolia.
10676	Bewitched Sacrificial Dagger	WEAPON	1150	This blade was enchanted for you by the enchantress Beatrice.
10677	Blessed Sacrificial Dagger	WEAPON	1200	This blade was blessed in the temple of the Northern gods.
10678	Bewitched Devourer Sting	WEAPON	5500	This weapon was enchanted for you by the enchantress Magnolia.
10679	Bewitched Devourer Sting	WEAPON	5500	This weapon was enchanted for you by the enchantress Magnolia.
10680	Bewitched Devourer Sting	WEAPON	5500	This weapon was enchanted for you by the enchantress Magnolia.
10681	Bewitched Devourer Sting	WEAPON	5550	This weapon was enchanted for you by the enchantress Beatrice.
10682	Blessed Devourer Sting	WEAPON	5600	This weapon was blessed in the temple of the Northern gods.
10683	Bewitched Ancient Fang	WEAPON	3300	This weapon was enchanted for you by the enchantress Magnolia.
10684	Bewitched Ancient Fang	WEAPON	3300	This weapon was enchanted for you by the enchantress Magnolia.
10685	Bewitched Ancient Fang	WEAPON	3300	This weapon was enchanted for you by the enchantress Magnolia.
10686	Bewitched Ancient Fang	WEAPON	3350	This weapon was enchanted for you by the enchantress Beatrice.
10687	Blessed Ancient Fang	WEAPON	3400	This weapon was blessed in the temple of the Northern gods.
10688	Bewitched Orcslicer	WEAPON	2800	This sword was enchanted for you by the enchantress Magnolia.
10689	Bewitched Orcslicer	WEAPON	2800	This sword was enchanted for you by the enchantress Magnolia.
10690	Bewitched Orcslicer	WEAPON	2800	This sword was enchanted for you by the enchantress Magnolia.
10691	Bewitched Orcslicer	WEAPON	2850	This sword was enchanted for you by the enchantress Beatrice.
10692	Blessed Orcslicer	WEAPON	2900	This sword was blessed in the temple of the Northern gods.
10693	Bewitched Righteousness	WEAPON	6500	This sword was enchanted for you by the enchantress Magnolia.
10694	Bewitched Righteousness	WEAPON	6500	This sword was enchanted for you by the enchantress Magnolia.
10695	Bewitched Righteousness	WEAPON	6500	This sword was enchanted for you by the enchantress Magnolia.
10696	Bewitched Righteousness	WEAPON	6550	This sword was enchanted for you by the enchantress Beatrice.
10697	Blessed Righteousness	WEAPON	6600	This sword was blessed in the temple of the Northern gods.
10698	Bewitched Bonegrinder	WEAPON	4100	This weapon was enchanted for you by the enchantress Magnolia.
10699	Bewitched Bonegrinder	WEAPON	4100	This weapon was enchanted for you by the enchantress Magnolia.
10700	Bewitched Bonegrinder	WEAPON	4100	This weapon was enchanted for you by the enchantress Magnolia.
10701	Bewitched Bonegrinder	WEAPON	4150	This weapon was enchanted for you by the enchantress Beatrice.
10702	Blessed Bonegrinder	WEAPON	4200	This weapon was blessed in the temple of the Northern gods.
10703	Bewitched Beastgrinder	WEAPON	3500	This weapon was enchanted for you by the enchantress Magnolia.
10704	Bewitched Beastgrinder	WEAPON	3500	This weapon was enchanted for you by the enchantress Magnolia.
10705	Bewitched Beastgrinder	WEAPON	3500	This weapon was enchanted for you by the enchantress Magnolia.
10706	Bewitched Beastgrinder	WEAPON	3550	This weapon was enchanted for you by the enchantress Beatrice.
10707	Blessed Beastgrinder	WEAPON	3600	This weapon was blessed in the temple of the Northern gods.
10708	Bewitched Bone Mace	WEAPON	2100	This weapon was enchanted for you by the enchantress Magnolia.
10709	Bewitched Bone Mace	WEAPON	2100	This weapon was enchanted for you by the enchantress Magnolia.
10710	Bewitched Bone Mace	WEAPON	2100	This weapon was enchanted for you by the enchantress Magnolia.
10711	Bewitched Bone Mace	WEAPON	2150	This weapon was enchanted for you by the enchantress Beatrice.
10712	Blessed Bone Mace	WEAPON	2200	This weapon was blessed in the temple of the Northern gods.
10713	Bewitched Mystic Bone Mace	WEAPON	4000	This weapon was enchanted for you by the enchantress Magnolia.
10714	Bewitched Mystic Bone Mace	WEAPON	4000	This weapon was enchanted for you by the enchantress Magnolia.
10715	Bewitched Mystic Bone Mace	WEAPON	4000	This weapon was enchanted for you by the enchantress Magnolia.
10716	Bewitched Mystic Bone Mace	WEAPON	4050	This weapon was enchanted for you by the enchantress Beatrice.
10717	Blessed Mystic Bone Mace	WEAPON	4100	This weapon was blessed in the temple of the Northern gods.
10718	Bewitched Heavy Scimitar	WEAPON	3200	This sword was enchanted for you by the enchantress Magnolia.
10719	Bewitched Heavy Scimitar	WEAPON	3200	This sword was enchanted for you by the enchantress Magnolia.
10720	Bewitched Heavy Scimitar	WEAPON	3200	This sword was enchanted for you by the enchantress Magnolia.
10721	Bewitched Heavy Scimitar	WEAPON	3250	This sword was enchanted for you by the enchantress Beatrice.
10722	Blessed Heavy Scimitar	WEAPON	3300	This sword was blessed in the temple of the Northern gods.
10723	Bewitched Bone Maul	WEAPON	1900	This weapon was enchanted for you by the enchantress Magnolia.
10724	Bewitched Bone Maul	WEAPON	1900	This weapon was enchanted for you by the enchantress Magnolia.
10725	Bewitched Bone Maul	WEAPON	1900	This weapon was enchanted for you by the enchantress Magnolia.
10726	Bewitched Bone Maul	WEAPON	1950	This weapon was enchanted for you by the enchantress Beatrice.
10727	Blessed Bone Maul	WEAPON	2000	This weapon was blessed in the temple of the Northern gods.
10728	Bewitched Maul of Terror	WEAPON	8500	This weapon was enchanted for you by the enchantress Magnolia.
10729	Bewitched Maul of Terror	WEAPON	8500	This weapon was enchanted for you by the enchantress Magnolia.
10730	Bewitched Maul of Terror	WEAPON	8500	This weapon was enchanted for you by the enchantress Magnolia.
10731	Bewitched Maul of Terror	WEAPON	8550	This weapon was enchanted for you by the enchantress Beatrice.
10732	Blessed Maul of Terror	WEAPON	8600	This weapon was blessed in the temple of the Northern gods.
10733	Bewitched Gurgurth's Maul	WEAPON	5500	This weapon was enchanted for you by the enchantress Magnolia.
10734	Bewitched Gurgurth's Maul	WEAPON	5500	This weapon was enchanted for you by the enchantress Magnolia.
10735	Bewitched Gurgurth's Maul	WEAPON	5500	This weapon was enchanted for you by the enchantress Magnolia.
10736	Bewitched Gurgurth's Maul	WEAPON	5550	This weapon was enchanted for you by the enchantress Beatrice.
10737	Blessed Gurgurth's Maul	WEAPON	5600	This weapon was blessed in the temple of the Northern gods.
10738	Bewitched Minotaur Axe	WEAPON	1700	This weapon was enchanted for you by the enchantress Magnolia.
10739	Bewitched Minotaur Axe	WEAPON	1700	This weapon was enchanted for you by the enchantress Magnolia.
10740	Bewitched Minotaur Axe	WEAPON	1700	This weapon was enchanted for you by the enchantress Magnolia.
10741	Bewitched Minotaur Axe	WEAPON	1750	This weapon was enchanted for you by the enchantress Beatrice.
10742	Blessed Minotaur Axe	WEAPON	1800	This weapon was blessed in the temple of the Northern gods.
10743	Bewitched Executioner's Axe	WEAPON	4500	This weapon was enchanted for you by the enchantress Magnolia.
10744	Bewitched Executioner's Axe	WEAPON	4500	This weapon was enchanted for you by the enchantress Magnolia.
10745	Bewitched Executioner's Axe	WEAPON	4500	This weapon was enchanted for you by the enchantress Magnolia.
10746	Bewitched Executioner's Axe	WEAPON	4550	This weapon was enchanted for you by the enchantress Beatrice.
10747	Blessed Executioner's Axe	WEAPON	4600	This weapon was blessed in the temple of the Northern gods.
10748	Bewitched Axe of the Depths	WEAPON	3500	This weapon was enchanted for you by the enchantress Magnolia.
10749	Bewitched Axe of the Depths	WEAPON	3500	This weapon was enchanted for you by the enchantress Magnolia.
10750	Bewitched Axe of the Depths	WEAPON	3500	This weapon was enchanted for you by the enchantress Magnolia.
10751	Bewitched Axe of the Depths	WEAPON	3550	This weapon was enchanted for you by the enchantress Beatrice.
10752	Blessed Axe of the Depths	WEAPON	3600	This weapon was blessed in the temple of the Northern gods.
10753	Snow Dreams	WEAPON	17500	This magic grants your enemies eternal sleep.
10754	Cold Dawn	WEAPON	19000	For some, the dawn will not come.
10755	Staff of Ice Tree	WEAPON	10500	Life seemed to be pulsing in the frozen tree.
10756	Shining Armor	armor_chest	10000	In this armor, you are not afraid of any evil spirits.
10757	Shining Armor	armor_legs	9100	In this armor, you are not afraid of any evil spirits.
10758	Shining Helm	armor_head	8500	The undead will run away from this light in a panic!
10759	Fists of Rage	armor_arms	7700	With these gloves, you will break not only bricks with your bare hands, but also the faces of your enemies!
10760	Frankie's Carapace	armor_chest	13000	It's going to be hard to break through this thing with anything.
10761	Magnificent Bow	WEAPON	10500	Even a blind man with this bow will become a dangerous shooter.
10762	Scroll of Demonic Trinity	SCROLL	10000	Summons a hellish trio of helpers.
10763	pop1	WEAPON	30	Foreign energy collected from outsiders.
10764	Truth-teller	WEAPON	21600	To verify the truth of judgments.
10765	Armor of Rage	armor_chest	3200	They give you vitality, making you unstoppable.
10766	Adaon	WEAPON	10	Your loyal comrade will always have your back, the main thing is that you can't beat off his last brains!
10767	Shadow Reaper	WEAPON	8800	Your enemies won't even have time to figure out what killed them.
10768	Moray Eel's Fang	SHIELD	6000	Deadly poisonous light and short blade.
10769	Reforged Legion Breastplate	armor_chest	12500	The re-hardening of the steel has made this armor stronger.
10770	Reinforced Velites Chain Shirt	armor_chest	6200	The rings of this chain mail were replaced with more durable ones.
10771	Fishing gear	general	-1	Lots of tools for fishing in the open sea.
10772	Killing Power	WEAPON	9000	What is the power, brother? In power!
10773	Blazing Sunset	WEAPON	6800	Each blow will mercilessly burn the enemies.
10774	Raining Fire	WEAPON	7100	Burn your enemies completely!
10775	Ray of Sun	WEAPON	6000	Brings retribution to the wicked.
10776	Sacrifice	WEAPON	-1	It's a deadly weapon, but using it will take away some of your life force.
10777	Magnificent Staff	WEAPON	12500	Any mediocre magician with this staff will become great.
10778	Moon Madness	WEAPON	14500	Nightmares are becoming a deadly reality.
10779	Stellar Wrecker	WEAPON	19600	Weapons piercing the firmament will sweep away all enemies from your path.
10780	Blinding Fury of Heaven	WEAPON	18000	Like the cold flame of heaven, it will turn your enemies to ashes.
10781	Dusky Silk	cloak	4000	The cape looks like it's woven from darkness.
10782	Created by light Robe	armor_chest	5200	Light and threads intertwined in the creation of this mantle.
