tag	EN	SP	RU	PT	DE	PL	CZ	TR	IT	FR
DEVICES	Disarm Devices	Mecanismos	Обезвреживание ловушек	Desarmar Mecanismos	Objekte entschärfen	Rozbrajanie mechanizmów	Zneškodnění Zařízení	Aygıtları Devre Dışı Bırak	disattivare meccanismi	
HELP_ALCHEMY	[BLUE]{alc}%[] base chance of preparing a potion.	[BLUE]{alc}%[] probabilidad de preparar una poción.	[BLUE]{alc}%[] шанс приготовить зелье.	[BLUE]{alc}%[] chance base de preparar uma poção.	[BLUE]{alc}%[] Grundchance einen Trank zu brauen.	[BLUE]{alc}%[]bazowej szansy na przygotowanie mikstury.	[BLUE]{alc}%[] základní šance na připravení lektvaru.	[BLUE]{alc}%[]bir iksir hazırlama şansı.	[BLUE]{alc}%[] chance base di preparare una pozione	
ALCHEMY	Alchemy	Alquimia	Алхимия	Alquimia	Alchemie	Alchemia	Alchymie	Simya	Alchimia	
HELP_SMITHING	[BLUE]{smi}%[] base chance of crafting an item.	[BLUE]{smi}%[] probabilidad de crear un objeto.	[BLUE]{smi}%[] шанс создать предмет.	[BLUE]{smi}%[] chance base de criar um item.	[BLUE]{smi}%[] Grundchance einen Gegenstand herzustellen.	[BLUE]{smi}%[]bazowej szansy na wytworzenie przedmiotu.	[BLUE]{smi}%[] základní šance na vyrobení předmětu.	[BLUE]{smi}%[] bir öğe hazırlamak için temel şans.	[BLUE]{smi}%[] chance base di creare un oggetto	
SMITHING	Smithing	Herrería	Кузнечное дело	Ferraria	Schmieden	Kowalstwo	Kování	smithing	Forgiare	
HELP_DEVICES	[BLUE]{dev}%[] chance of disabling traps.	[BLUE]{dev}%[] de desactivar trampas.	[BLUE]{dev}%[] шанс обезвредить ловушки.	[BLUE]{dev}%[] chance de desarmar armadilhas.	[BLUE]{dev}%[] Chance Fallen zu entschärfen.	[BLUE]{dev}%[]szansy na rozbrojenie pułapki.	[BLUE]{dev}%[] šance na zneškodnění pastí.	[BLUE] {dev}%[]tuzakları devre dışı bırakma şansı.	[BLUE]{dev}%[] chance di disarmare trappole	
TIT_GOSSIP	Gossip	Rumores	Сплетни	Rumores	Gerüchte	Plotkowanie	Drbání	Dedikodu	Pettegolezzi	
HELP_GOSSIP	[BLUE]{gos}%[] chance of learning rumours.	[BLUE]{gos}%[] de escuchar rumores o leyendas.	[BLUE]{gos}%[] шанс услышать сплетни.	[BLUE]{gos}%[] chance de ouvir rumores.	[BLUE]{gos}%[] Chance Gerüchte zu erfahren.	[BLUE]{gos}%[]szansy na usłyszenie plotek.	[BLUE]{gos}%[] šance na dozvědění se drbů a zvěstí.	[BLUE]{gos}%[] söylenti öğrenme şansı.	[BLUE]{gos}%[] chance di sentire pettegolezzi	
HELP_CRITICAL	The chance you have of striking a Critical Hit, and the damage multiplier when it happens. Several skills can affect this value.	La probabilidad de que uno de tus ataques sea Crítico, y el multiplicador de daño en caso de ocurrir. Varias habilidades pueden mejorar tus Críticos.	У Вас есть шанс нанести Критический удар,и когда это случится урон умножится. Несколько умений могут повлиять на это.	A probabilidade de que um de seus ataques seja Crítico, e o multiplicador de dano quando ocorre. Várias habilidades podem melhorar esse valor.	Deine Chance einen kritischen Treffer zu landen und der entsprechende Schadensmultiplikator. Einige Fertigkeiten können diesen Wert beeinflussen.	Szansa na zadanie obrażeń krytycznych oraz ich współczynnik. Niektóre umiejętności mają wpływ na tę wartość.	Šance zasadit Kritcký Úder, a zmnohonásobit tak poškození, když nastane. Mnoho vlastností může ovlivnit tuto hodnotu.	Kritik Hit çarpma şansı ve hasar çarpanı olduğunda olur.Birkaç beceri bu değeri etkileyebilir.	La tua possibilità di infliggere un Colpo Critico, e il moltiplicatore di danno quando ciò succede. Molte skill possono modificare questo valore.	
HELP_DPS	Damage Per Second. It's a calculation, using the three values above, of how much damage you can deal with that weapon, if you attack constantly. However, it does not take into account your target's armor or resistances.	Daño Por Segundo. Usando los valores anteriores, es un cálculo de cuánto daño hace el arma, si ataca constantemente. Pero no tiene en cuenta la armadura del enemigo, ni sus resistencias.	Урон в секунду. На основе трех значений выше вычисляется сколько урона Вы можете нанести этим оружием если атакуете беспрерывно. Однако при этом не учитываются броня и сопротивления Вашего противника.	Dano Por Segundo. Usando os valores anteriores, é um cálculo de quanto dano a arma causa, se atacar constantemente. No entanto, não considera a armadura do seu inimigo, ou suas resistências.	Schaden pro Sekunde, berechnet aus den drei obigen Werten. Gibt den Schaden wieder, den du durch konstanten Angriff mit einer Waffe austeilen kannst. Dabei werden jedoch die Rüstung und Resistenzen deines Gegners nicht mit berücksichtigt.	Obrażenia na sekundę – wielkość wyliczana przy użyciu trzech powyższych wartości. Informuje ile obrażeń zadajesz daną bronią podczas nieprzerwanego ataku, ale nie bierze pod uwagę odporności ani pancerza przeciwnika.	Poškození za sekundu (PZS). Je to výpočet, používající tři hodnoty nad ním, říkající jaké poškození zbraň uštědří, pokud útočíš konstantně. Nicméně nebere v úvahu zbroj a odolnosti cíle.	Saniyede hasar. Yukarıdaki üç değeri kullanarak, sürekli saldırdığınızda o silahla ne kadar çok zarar vereceğinizin bir hesaplamasıdır.Ancak, hedefinizin zırhını veya direncini hesaba katmaz.	Danno al secondo. E' un calcolo usando i tre valori sovrastanti di quanto danno puoi fare con la tua arma se attacchi costantemente. Ovviamente non tiene conto delle resistenze del nemico.	
HELP_ARMOR	You subtract {ARMOR-VALUE} from all physical attacks.	Restas {ARMOR-VALUE} a todo el daño físico.	Вы снижаете на {ARMOR-VALUE} урон всех физических атак.	Você ignora {ARMOR-VALUE} de todo dano físico.	Alle physischen Angriffe werden um {ARMOR-VALUE} reduziert.	Odejmujesz {ARMOR-VALUE} od wszystkich obrażeń fizycznych.	Snižuje o {ARMOR-VALUE} všchny fyzické útoky.	Tüm fiziksel saldırılardan {ARMOR-VALUE} çıkarırsınız.	Sottrai {ARMOR-VALUE} da tutti gli attacchi fisici.	
HELP_ARMOR_ARROWS	You subtract an extra {ARMOR-VALUE} from all projectiles.	Restas además {ARMOR-VALUE} a todos los proyectiles.	Вы дополнительно снижаете на {ARMOR-VALUE} урон всех снарядов.	Você ignora {ARMOR-VALUE} extra de todos os projéteis.	Geschossangriffe werden um weitere {ARMOR-VALUE} reduziert.	Odejmujesz dodatkowo {ARMOR-VALUE} od obrażeń od pocisków.	Snižuje o {ARMOR-VALUE} útoky projektilem.	Tüm mermilerden fazladan bir {ARMOR-VALUE} çıkarırsınız.	Sottrai un'extra {ARMOR-VALUE} da tutti i proiettili.	
HELP_RESISTANCES	Resistances can help you reduce certain types of special damage, often caused by magic. They can be raised by equipment, and may become very important in higher levels, to overcome certain encounters. There's a separate stat for each resistance type: Fire, Cold, Shock, Death, Poison and Holy.	Las resistencias sirven para reducir ciertos tipos de daño especial, muchas veces causado por la magia. Pueden mejorarse a través de equipo, y en niveles altos pueden ser esenciales para poder enfrentarse a ciertos encuentros. Hay un valor de resistencia para cada tipo de daño: Fuego, Frío, Electricidad, Muerte, Veneno y Sagrado.	Сопротивления могут помочь Вам уменьшить определенные типы специального урона, часто нанесенного волшебством. Они могут быть усилены снаряжением и станут очень важными на более высоких уровнях, чтобы пережить некоторые столкновения. Есть отдельные значения для каждого типа сопротивления: Огонь, Холод, Разряд, Тлен, Яд и Святость.	As resistências servem para reduzir certos tipos de danos especiais, muitas vezes causados por magia. Podem ser melhorados por equipamentos, e podem se tornar muito importantes em níveis mais altos, para vencer certos encontros. Há um valor específico para cada resistência: Fogo, Gelo, Eletricidade, Morte, Veneno e Sagrado.	Resistenzen können zur Reduzierung spezieller Schadensarten beitragen, oftmals verursacht durch Magie. Sie können durch Ausrüstung erhöht werden und auf höheren Stufen äußerst wichtig werden, um bestimmte Begegnungen zu überstehen. Es gibt folgende Resistenztypen: Feuer, Kälte, Schock, Tod, Gift und Geisteskraft.	Odporności zmniejszają niektóre typy obrażeń specjalnych, często powodowanych przez magię. Można je zwiększyć dzięki ekwipunkowi. Na wyższych poziomach są bardzo ważne, ponieważ pozwalają pokonać określonych wrogów. Występują odporności na: ogień, zimno, błyskawice, śmierć, trucizny oraz święte obrażenia. 	Odolnosti pomáhají snížit určité typy speciálního poškození, často způsobeného kouzlem. Můžou být zvýšeny vybavením, a mohou být velmi důležité při vyšších úrovních k překonání určitých momentů. Jsou zde samostatné statuty pro každý typ odolnosti: Oheň, Zima, Šok, Smrt, Jed a Víra.	Direnişler, genellikle büyünün neden olduğu belirli hasar türlerini azaltmanıza yardımcı olabilir. Ekipmanlarla yetiştirilebilirler ve belirli buluşmaları aşmak için daha üst düzeylerde çok önemli olabilirler.Her direniş türü için ayrı bir stat var: Ateş, Soğuk, Şok, Ölüm, Zehir ve Kutsal.	Le resistenze servono a ridurre alcuni tipi di danni speciali, spesso causati dalla magia. Possono essere migliorati attraverso le attrezzature e ad alti livelli possono essere essenziali per poter affrontare determinati incontri. C'è un valore di resistenza per ogni tipo di danno: Fuoco, Freddo, Elettricità, Morte, Veleno e Sacro.	
CHARACTER_CLASSES	Character Classes	Clases de Personaje	Классы персонажей	Classes de Personagem	Charakterklassen	Klasy postaci	Třída Postavy	Karakter Sınıfları	Classe del personaggio	
CLASS_DESC_WARRIOR	They can be barbarian brutes, skilled mercenaries, or refined knights. But all of them have something in common: they can use [BLUE]the heaviest armor and weapons[], and they tend to get into a mess very often.<p><p>Warriors have [BLUE]the highest Health[] of all classes, and a decent damage progression. Their skills are often defensive, and that combined with their heavy armor makes them able to survive direct combat with many monsters at once. Well, at least better than others do!<p><p>When needed, they can sacrifice some of their defense and use [BLUE]two-handed weapons[], which are great against high-armor enemies. With a few exceptions, only warriors can use them.<p><p>[BLUE]Base health at level 1[]: 45hp<p>Health bonus/level: +6hp	Pueden ser bárbaros salvajes, hábiles mercenarios o refinados caballeros. Pero todos ellos tienen algo en común: pueden usar [BLUE]las armas y armaduras más pesadas[], y les encanta ensuciarse las manos.<p><p>Los guerreros tienen [BLUE]más puntos de vida que ninguna otra clase[], y tienen una progresión de daño aceptable. sus habilidades son a menudo defensivas, y eso combinado con su armadura pesada les hace capaces de sobrevivir combates con varios monstruos a la vez. Bueno, al menos mejor que los demás!<p><p>Cuando lo necesitan, pueden sacrificar algo de defensa y usar [BLUE]armas de dos manos[], que son muy útiles contra enemigos con mucha armadura.<p><p>[BLUE]Puntos de Vida en Nivel 1[]: 45hp<p>Adicionales por nivel: +6hp	Они могут быть грубыми варварами, опытными наемниками или изысканными рыцарями. Но все они имеют кое-что общее: могут использовать [BLUE] тяжелые доспехи и оружие [] и, как правило, склонны попадать в переделки. <p><p>Воины имеют [BLUE] наибольший уровень здоровья [] среди всех классов, и весьма приличный прирост урона. Их навыки часто защитные, и вместе с их тяжелой броней делают их способными пережить одновременный бой со большим количеством монстров. Ну, по крайней мере лучше чем другие!<p><p>При необходимости, они могут пожертвовать защитой и использовать [BLUE] Двуручное оружие [], которое эффективно против врагов с сильной броней. За немногим исключенем, им могут пользоваться только воины. <p><p>[BLUE] Базовое здоровье на уровне 1 []: 45оз <p>Прирост здоровья за уровень: +6оз	Podem ser bárbaros selvagens, mercenários hábeis ou refinados cavaleiros. Mas todos têm algo em comum: podem usar [BLUE]as armas e armaduras mais pesadas[], e tendem a brigar facilmente.<p><p>Os guerreiros têm [BLUE]mais pontos de vida que qualquer outra classe.[], e tem uma progressão de dano decente. Suas habilidades são geralmente defensivas, que combinadas com sua armadura pesada, os fazem sobreviver a combates diretos com vários inimigos de uma vez. Bem, pelo menos mais que os outros!<p><p>Quando é necessário, podem sacrificar um pouco de sua defesa e usar [BLUE]armas de duas mãos[], que são muito úteis contra inimigos com muita armadura.<p><p>[BLUE]Pontos de Vida no Nível 1[]: 45hp<p>Adicionais por nível: +6hp<p>[BLUE]Outras vantagens e desvantagens[]: os guerreiros precisam pagar menos ouro para se tornar cavaleiros de um dos reinos.	Sie können barbarische Wüstlinge, begabte Söldner oder edle Ritter sein. Aber alle haben eines gemeinsam: Sie können die [BLUE]schwersten Rüstungen und Waffen[] verwenden und stürzen sich nur allzu oft mitten ins Gemetzel.<p><p>Krieger besitzen die [BLUE]höchste Gesundheit[] aller Klassen und eine ordentliche Schadensentwicklung. Ihre Fertigkeiten sind oftmals defensiv und erlauben es ihnen, in Kombination mit ihren schweren Rüstungen, es mit vielen Monstern gleichzeitig aufzunehmen. Nun ja, zumindest besser als manch andere!<p><p>Falls erforderlich, können sie einen Teil ihrer Abwehr opfern und [BLUE]beidhändige Waffen[] verwenden, die großartig gegen schwergepanzerte Gegner sind. Mit wenigen Ausnahmen können nur Krieger diese einsetzen.<p><p>[BLUE]Gesundheit auf Stufe 1[]: 45 HP<p>Gesundheitsbonus/Stufe: +6 HP<p>[BLUE]Weitere Vor- und Nachteile[]: Krieger müssen weniger Gold bezahlen, um Ritter eines der Königreiche zu werden.	Okrutni barbarzyńcy, wyszkoleni najemnicy lub szlachetni rycerze. Łączą ich dwie rzeczy: korzystanie z [BLUE]najcięższych broni i pancerzy[]oraz skłonność do pakowania się w kłopoty.<p><p>Wojownicy mają  [BLUE]najwięcej PŻ[]ze wszystkich klas i zadają wysokie obrażenia. Ich umiejętności są zwykle obronne, a w połączeniu z ciężkim pancerzem pozwalają im na przeżycie bezpośredniego starcia z kilkoma potworami naraz. W każdym razie, radzą sobie z tym lepiej niż inni!<p><p>W razie potrzeby mogą poświęcić swoją obronę i używać [BLUE]broni dwuręcznych,[]które doskonale sobie radzą z opancerzonymi przeciwnikami. Z tego typu oręża, poza kilkoma wyjątkami, mogą korzystać tylko wojownicy.<p><p>[BLUE]Zdrowie na 1 poziomie:[] 45 PŻ.<p>Dodatkowe zdrowie/poziom: +6 PŻ	Mohou být barbarští násilníci, zkušení žoldnéři či zženštilý rytíři. Ale všichni z nich mají něco společného: mohou používat [BLUE]nejtěžší zbroje a zbraně[] a mají tendenci se dostávat do problémů<p><p>Válečníci mají [BLUE]nejvyšší zdraví[] ze všech tříd, a slušný vývoj velikosti poškození. Jejich vlastnosti jsou často defenzivní a v kombinaci jejich těžkou zbrojí je činí schopné přežít přímý souboj s mnoha příšerami najednou. Dobře, alespoň lépe než ostatní!<p><p>Když je třeba, jsou schopni obětovat jejich obranu a použít [BLUE]obouruční zbraně[], jež jsou skvělé proti nepřátelům se silnější zbroji. Až na pár výjimek jsou jsou válečníci jedinný, kdo je mohou používat.<p><p>[BLUE]Základní zdraví na úrovni 1[]: 45hp<p>Bonus zdraví/úroveň: +6hp	"Bunlar barbar brutlar, yetenekli paralı askerler veya zarif şövalyeler olabilir.Ancak hepsinin ortak noktası vardır: [BLUE]en ağır zırh ve silah[]kullanabilirler ve çok sıklıkla bir karmaşa içine girme eğilimindedirler.<p><p>Savaşçıların[BLUE]en yüksek Sağlık[] Tüm sınıfların ve iyi bir hasar ilerleme. Becerileri genellikle savunmacıdır ve ağır zırhlarıyla birleştirildiğinde bir anda birçok canavarla doğrudan savaşımdan kurtulabiliyorlar.En azından diğerlerinden daha iyidir!<p><p>İhtiyaç duyduklarında, savunmalarından bazılarını feda edebilir ve [BLUE]iki el silahlarını kullanabilirler; bu silahlar, yüksek zırhlı düşmanlara karşı mükemmeldir.Birkaç istisna dışında sadece savaşçılar bunları kullanabilir.<p><p>[BLUE]1. basamakta temel sağlık:45hp<p>Sağlık bonusu/seviyesi: + 6hp"	Possono essere barbari selvaggi, mercenari abili o cavalieri raffinati. Ma tutti hanno qualcosa in comune: possono usare [BLUE] le armi e l'armatura più pesanti [], e amano sporcasi le mani. I guerrieri hanno [BLUE] più punti di vita [] di qualsiasi altra classe, e una progressione del danno più alta. Le loro abilità sono spesso difensive, e combinate con la loro pesante armatura li rende in grado di sopravvivere a combattimenti con diversi mostri contemporaneamente. Quando ne hanno bisogno, possono sacrificare la difesa e usare [BLUE] armi a due mani [], molto utili contro i nemici fortemente corazzati.<p><p> [BLUE] Salute base a livello 1 []: 45hp<p> Salute bonus / livello: + 6hp<p>[BLUE] Altri vantaggi o svantaggi []: I guerrieri dovranno pagare meno oro per diventare cavalieri di uno dei regni.	
CLASS_DESC_ROGUE	If the world isn't fair... why should you be? Rogues take every possible advantage and avoid all risks if possible. Better to strike an enemy from behind, and when he least expects it. Even with [BLUE]ranged weapons[], which they are skilled at. Yeah, that's how rogues like to do their job.<p><p>Rogues really know how to hurt others. They can dish out [BLUE]more melee damage than any other class[], and their skills allow them to [BLUE]move unseen[], or to do extra damage, making them very good at killing boss enemies or spellcasters. But they don't have a lot of health, and it's harder for them to find good armor.<p><p>[BLUE]Health at level 1[]: 30hp<p>Health bonus/level: +4hp<p>[BLUE]+1[] bonus to [BLUE]melee damage[], increased again on levels 6, 12, 18 and 24.<p>[BLUE]Other advantages or drawbacks[]: Rogues have a +20% chance to Perception, +20% to disarm traps or locks, and +10% to Gossip.	Si el mundo no es un lugar justo... vas a serlo tú? El ladrón utiliza todas las ventajas posibles, y evita los riesgos. Mejor atacar a un enemigo por la espalda, y cuando menos lo espera. Y si se puede, con [BLUE]armas a distancia[], que saben manejar bien. Exacto, así es como un ladrón hace su trabajo.<p><p>Los ladrones saben como hacer daño. Hacen [BLUE]más daño en combate que ninguna otra clase[], y sus habilidades les permiten [BLUE]moverse sin ser vistos[], haciéndoles muy eficaces para acabar con jefes o magos enemigos. Pero no tienen muchos puntos de vida, y para ellos encontrar buena armadura es más difícil.<p><p>[BLUE]Puntos de Vida en Nivel 1[]: 30hp<p>Adicionales por nivel: +4hp<p>Bono de [BLUE]+1 al daño[] cuerpo a cuerpo, que aumenta de nuevo en niv. 6, 12, 18 y 24.<p>[BLUE]Otras ventajas e inconvenientes[]: Los ladrones tienen una bonificación de +20% a percepción, +20% a dearmar trampas y cerraduras, y+10% a escuchar rumores.	Если мир не справедлив..., почему бы Вам не стать таким же? Плуты пользуются любым возможным премуществом и избегают всех рисков, если это возможно. Лучше ударить врага сзади, и когда он меньше всего этого ожидает . Например, [BLUE]стрелковым оружием[], с которым они мастерски обращаются. Да, это то, как плутам нравится делать их работу. <p> <p> Плуты действительно знают, как причинить другим боль. Они могут выдать [BLUE]больше урона в рукопашной, чем какой-либо другой класс[], и их навыки позволяют им [BLUE]двигаться незаметно для глаза[], или наносить дополнительный ущерб, что даёт преимущество в убийстве вражеских боссов и заклинателей. Но у них мало здоровья, и им труднее найти хорошую броню. <p><p> [BLUE] Здоровье на уровне 1 []: 30оз. <p> Прирост здоровья за уровень: +4оз. <p> [BLUE]+1 []бонус [BLUE]к урону в рукопашном бою[], увеличивающийся на уровнях 6, 12, 18 и 24.<p> [BLUE] Другие преимущества или недостатки []: у Плутов есть +20% шанс к Восприятию, +20%, чтобы взломать ловушки или замки, и +10%, чтобы Сплетничать.	Se o mundo não é justo... por que você seria? Ladinos usam qualquer vantagem e evitam todo risco. É melhor atacar um inimigo pelas costas, e quando ele menos espera. Até mesmo com [BLUE]arcos[], nos quais eles são especialistas. Pois é, é assim que ladinos gostam de fazer seu trabalho.<p><p>Ladinos realmente sabem machucar. Eles têm [BLUE]mais dano corpo a corpo que qualquer outra classe[], e suas habilidades permitem que eles [BLUE]se movam sem serem vistos[], ou deem ainda mais dano, os fazendo os melhores para matar chefes ou invocadores. Mas eles têm pouca vida, e encontrar uma boa armadura é mais difícil.<p><p>[BLUE]Pontos de Vida no Nível 1[]: 30hp<p>Adicionais por nível: +4hp<p>Bônus de [BLUE]=1 ao dano[] corpo a corpo, que aumenta novamente nos níveis 6, 12, 18 e 24[BLUE]Outras vantagens e desvantagens[]: os ladinos tem um bônus de +20% em percepção, +20% em desarmar armadilhas e fechaduras e +10% em escutar rumores.	Wenn die Welt nicht gerecht ist... warum solltest du es sein? Diebe bedienen sich jedweder Vorteile und vermeiden Risiken wann immer möglich. Lieber einen Gegner von hinten angreifen, wenn er es am wenigsten erwartet. Sogar mit [BLUE]Distanzwaffen[], mit denen sie sehr geschickt umgehen. Ja, so erledigen Diebe die Dinge.<p><p>Diebe wissen, wie man anderen wehtut. Sie können [BLUE] mehr Nahkampfschaden austeilen als jede andere Klasse[] und ihre Fertigkeiten erlauben es ihnen, [BLUE]sich ungesehen zu bewegen[] oder Zusatzschaden zu verursachen. Dadurch sind sie bestens dafür gewappnet, Boss-Gegner oder Zauberwirkende zu töten. Aber sie haben wenig Gesundheit und finden seltener eine gute Rüstung.<p><p>[BLUE]Gesundheit auf Stufe 1[]: 30 HP<p>Gesundheitsbonus/Stufe: +4 HP<p>[BLUE]+1[] Bonus auf [BLUE]Nahkampfschaden[], weiter erhöht auf Stufe 6, 12, 18 und 24.<p>[BLUE]Weitere Vor- und Nachteile[]: Diebe erhalten eine +20% Chance Geheimnisse zu entdecken, +20% Chance Fallen zu entschärfen und +10% Chance Gerüchte zu erfahren.	Skoro świat nie jest sprawiedliwy, to czemu ty masz być? Łotrzyk wykorzysta każdy swój atut, aby uniknąć ryzyka – tak często jak jest to możliwe. Lepiej jest bowiem zaatakować od tyłu, kiedy ofiara się najmniej tego spodziewa. I to najlepiej za pomocą [BLUE]broni dystansowej,[]w której się specjalizuje.<p><p>Łotrzyk zna się na krzywdzeniu innych. Zadaje [BLUE]więcej obrażeń w walce wręcz niż inne klasy,[]a jego umiejętności pozwalają mu [BLUE]poruszać się niezauważonym,[]lub zadawać dodatkowe obrażenia. To wszystko czyni z niego maszynę do zabijania bossów lub magów. Niewielka liczba punktów zdrowia oraz trudność w znalezieniu dobrego pancerza to jego największe wady.<p><p>[BLUE]Zdrowie na 1 poziomie:[] 30 PŻ<p>Dodatkowe zdrowie/poziom: +4 PŻ<p>Bonusowe [BLUE]+1[]do [BLUE]obrażeń w walce wręcz,[]zwiększa się na poziomach 6, 12, 18 i 24.<p>[BLUE]Pozostałe wady lub zalety:[]łotrzykowie mają zwiększone współczynniki: +20% Spostrzegawczość, +20% Rozbrajanie Mechanizmów oraz +10% Plotkowanie.	Když není svět fér... proč nebýt taky? Darebáci využívají každé možné výhody a vyhýbají se všem rizikům, pokud je to možné. Lepší v útočení nepříteli do zad, když to nejméně čeká. Rovněž jsou zkušení v používání [BLUE]střelných zbraní[]. Jep, Darebáci takto rádi odváději svoji práci.<p><p>Darebáci opravdu ví jak zranit ostatní. Dokážou vytřískat [BLUE]více ručního poškození, než ostatní třídy[], a jejich schopnosti jim umožňují se [BLUE]přesouvat nespatřeni[] nebo uštědřovat extra zranění z nich činí velmi dobré v zabíjení nepřátelských Bossů nebo kouzelníků. Ale nemají mnoho zdraví, a je těždí pro ně najít dobrou zbroj.<p><p>[BLUE]Zdraví na úrovni 1[]: 30hp<p>Bonus zdraví /úroveň: +4hp<p>[BLUE]+1[] bonus [BLUE]poškození ruční zbraní[] je opakovaně zvýšen na úrovních 6, 12, 18 a 24.<p>[BLUE]Ostatní výhody a nevýhody[]: Darebáci mají a +20% šance Vnímání, +20% zneškodnění pastí či zámků a +10% Drbání.	"Dünya adil değilse, neden olsan iyi olur? Sahtekarlar olası her avantajı kullanır ve mümkünse tüm risklerden kaçınırlar.Bir düşmanı arkasından vurmak daha iyi, en azından bunu beklediğinde. [BLUE]menzil silahlarıyla[]bile, yetenekli oldukları için. Evet, işi yapanlar hırsızlar böyle iş ister.<p><p>Haydutlar gerçekten başkalarına nasıl zarar vereceğini biliyorlar.[BLUE]diğer herhangi bir sınıfdan[]daha melee zarar vermezler ve becerileri,[BLUE]görünüşe göre hareket etmemelerini veya ekstra hasar vermelerini sağlar; böylece patronların düşmanlarını veya heceleyicilerini öldürmede çok başarılı olurlar.Ancak sağlıklarının fazla olmadığı ve iyi zırh bulması daha zordur.<p><p>[BLUE]Düzey 1'deki sağlık[]: 30 saat<p>Sağlıklı ikramiye / seviye: +4saat <B> [BLUE]Diğer avantajlar veya dezavantajlar[]: Sahtekarların şansının% + 20 olması </ b>> [blue] melee damage [] 'e [+] Algılamaya, tuzaklar veya kilitler kaldırmak için +20% ve dedikodu için+10% arttı."	Se il mondo non è giusto ... perché dovresti esserlo tu? I Ladri prendono ogni possibile vantaggio e evitano tutti i rischi se possibile. Meglio colpire un nemico da dietro e quando non se lo aspetta, Anche con [BLUE] armi a distanza [], essendo esperti. Già, è così che i ladri vogliono fare il loro lavoro. <p><p> Il ladro sa davvero come fare male agli altri. Possono fare [BLUE] più danno da mischia di qualsiasi altra classe [], e le loro abilità gli permettono di [BLUE] muoversi di nascosto [], o fare danni supplementari, rendendoli molto bravi ad uccidere i nemici e maghi. Ma non hanno molto salute, ed è più difficile per loro trovare buone armature. <p><p>[BLUE] Salute al livello 1 []: 30hp <p> Bonus di salute / livello: + 4hp <p>[BLUE] +1 bonus[] a [BLUE]danno da mischia[], aumentato di nuovo sui livelli 6, 12, 18 e 24.<p>[BLUE] Altri vantaggi o inconvenienti []: I ladri hanno + 20% di possibilità di Percezione, + 20% per disarmare trappole o forzieri e + 10% a Gossip.	
